skill1_id,skill2_id,weight,relationship_type
animation,unreal_engine,2,CO_OCCURS_WITH
unreal_engine,games,2,CO_OCCURS_WITH
unreal_engine,game_design,2,CO_OCCURS_WITH
unreal_engine,blueprints,2,CO_OCCURS_WITH
statistics,data_analysis,9,CO_OCCURS_WITH
statistics,python,7,CO_OCCURS_WITH
statistics,r,5,CO_OCCURS_WITH
statistics,probability,6,CO_OCCURS_WITH
statistics,research,3,CO_OCCURS_WITH
research,practice,3,CO_OCCURS_WITH
research,user_research,5,CO_OCCURS_WITH
research,user_research_data,2,CO_OCCURS_WITH
research,competitive_analysis,3,CO_OCCURS_WITH
research,chatgpt,2,CO_OCCURS_WITH
python,data_science,4,CO_OCCURS_WITH
python,machine,2,CO_OCCURS_WITH
python,data_visualization,14,CO_OCCURS_WITH
python,aws,2,CO_OCCURS_WITH
python,data_analysis,18,CO_OCCURS_WITH
python,r,3,CO_OCCURS_WITH
python,web_development,4,CO_OCCURS_WITH
python,natural_language_processing,3,CO_OCCURS_WITH
python,pandas,2,CO_OCCURS_WITH
python,data_structures,2,CO_OCCURS_WITH
python,designers,2,CO_OCCURS_WITH
python,time_series,3,CO_OCCURS_WITH
python,testing,4,CO_OCCURS_WITH
python,flask,5,CO_OCCURS_WITH
python,data,2,CO_OCCURS_WITH
python,object-oriented_programming,3,CO_OCCURS_WITH
python,deep_learning,3,CO_OCCURS_WITH
python,version_control,2,CO_OCCURS_WITH
python,an_introduction,2,CO_OCCURS_WITH
python,accounting,2,CO_OCCURS_WITH
python,clustering,2,CO_OCCURS_WITH
python,seaborn_python,2,CO_OCCURS_WITH
python,devops,3,CO_OCCURS_WITH
python,linear_algebra,2,CO_OCCURS_WITH
python,your_first_python_program,2,CO_OCCURS_WITH
python,django,2,CO_OCCURS_WITH
azure,microsoft_azure,6,CO_OCCURS_WITH
azure,devops,5,CO_OCCURS_WITH
azure,ml_studio,2,CO_OCCURS_WITH
azure,azure_devops,2,CO_OCCURS_WITH
azure,azure_data_factory,2,CO_OCCURS_WITH
azure,machine_learning_solutions,2,CO_OCCURS_WITH
azure,google_cloud,6,CO_OCCURS_WITH
azure,natural_language_processing,2,CO_OCCURS_WITH
azure,compliance,3,CO_OCCURS_WITH
azure,serverless,4,CO_OCCURS_WITH
azure,azure_serverless_functions,2,CO_OCCURS_WITH
azure,optimization,2,CO_OCCURS_WITH
accounting,decision_making,4,CO_OCCURS_WITH
google_cloud,developing_applications,3,CO_OCCURS_WITH
google_cloud,data_transformation,5,CO_OCCURS_WITH
google_cloud,security_best_practices,5,CO_OCCURS_WITH
google_cloud,google_cloud_-_español,2,CO_OCCURS_WITH
google_cloud,ai_principles,2,CO_OCCURS_WITH
google_cloud,français,2,CO_OCCURS_WITH
google_cloud,network_security,6,CO_OCCURS_WITH
google_cloud,devops,2,CO_OCCURS_WITH
google_cloud,aws,6,CO_OCCURS_WITH
google_cloud,compute_engine,2,CO_OCCURS_WITH
google_cloud,your_google_cloud,5,CO_OCCURS_WITH
google_cloud,go,3,CO_OCCURS_WITH
google_cloud,terraform,4,CO_OCCURS_WITH
developing_countries,part,2,CO_OCCURS_WITH
compliance,aws,2,CO_OCCURS_WITH
compliance,risk_management,5,CO_OCCURS_WITH
natural_language_processing,deep_learning,2,CO_OCCURS_WITH
design_patterns,c++,2,CO_OCCURS_WITH
design_patterns,java,2,CO_OCCURS_WITH
principles,practices,2,CO_OCCURS_WITH
java,object-oriented_programming,6,CO_OCCURS_WITH
java,testing,7,CO_OCCURS_WITH
java,a_supermarket_app,2,CO_OCCURS_WITH
java,spring_boot,2,CO_OCCURS_WITH
decision_making,data,2,CO_OCCURS_WITH
c++,object-oriented_programming,4,CO_OCCURS_WITH
c++,introduction,2,CO_OCCURS_WITH
c++,c++_programming,2,CO_OCCURS_WITH
introduction,ui_design,2,CO_OCCURS_WITH
introduction,scrum,2,CO_OCCURS_WITH
introduction,c++_programming,2,CO_OCCURS_WITH
introduction,game_design,2,CO_OCCURS_WITH
introduction,data_analysis,2,CO_OCCURS_WITH
communication,network_security,2,CO_OCCURS_WITH
communication,data_visualization,2,CO_OCCURS_WITH
react,javascript,2,CO_OCCURS_WITH
react,react_beginner_project,2,CO_OCCURS_WITH
react,your_first_react_website,2,CO_OCCURS_WITH
react,typescript,4,CO_OCCURS_WITH
r,clustering,2,CO_OCCURS_WITH
r,data_visualization,7,CO_OCCURS_WITH
r,dplyr,2,CO_OCCURS_WITH
r,probability,2,CO_OCCURS_WITH
r,simulation,2,CO_OCCURS_WITH
r,r_simmer,2,CO_OCCURS_WITH
r,data,2,CO_OCCURS_WITH
r,data_analysis,5,CO_OCCURS_WITH
testing,optimization,2,CO_OCCURS_WITH
testing,usability_testing,2,CO_OCCURS_WITH
testing,high-fidelity_design,2,CO_OCCURS_WITH
testing,user_testing,2,CO_OCCURS_WITH
testing,penetration_testing,6,CO_OCCURS_WITH
testing,user_experience_design,2,CO_OCCURS_WITH
testing,part,2,CO_OCCURS_WITH
angular,responsive_web_apps,2,CO_OCCURS_WITH
optimization,aws,2,CO_OCCURS_WITH
optimization,scheduling,2,CO_OCCURS_WITH
optimization,rstudio,2,CO_OCCURS_WITH
optimization,seo,2,CO_OCCURS_WITH
aws,devops,6,CO_OCCURS_WITH
aws,ci/cd,3,CO_OCCURS_WITH
aws,serverless,3,CO_OCCURS_WITH
aws,terraform,3,CO_OCCURS_WITH
aws,classification,2,CO_OCCURS_WITH
javascript,web_development,5,CO_OCCURS_WITH
javascript,html,13,CO_OCCURS_WITH
javascript,css,11,CO_OCCURS_WITH
javascript,json,3,CO_OCCURS_WITH
valuation,financial_analysis,2,CO_OCCURS_WITH
valuation,startups,2,CO_OCCURS_WITH
data_science,machine,3,CO_OCCURS_WITH
machine,science,4,CO_OCCURS_WITH
machine,classification,2,CO_OCCURS_WITH
css,html,29,CO_OCCURS_WITH
css,web_development,3,CO_OCCURS_WITH
css,tailwind_css,2,CO_OCCURS_WITH
css,css_grid,2,CO_OCCURS_WITH
devops,ci/cd,3,CO_OCCURS_WITH
devops,microservices,2,CO_OCCURS_WITH
devops,agile,2,CO_OCCURS_WITH
devops,git,6,CO_OCCURS_WITH
devops,azure_devops,2,CO_OCCURS_WITH
devops,docker,2,CO_OCCURS_WITH
scrum,agile,15,CO_OCCURS_WITH
scrum,scrum_master_certification,2,CO_OCCURS_WITH
data_analysis,pandas,7,CO_OCCURS_WITH
data_analysis,excel,2,CO_OCCURS_WITH
data_analysis,path,5,CO_OCCURS_WITH
data_analysis,big_data,5,CO_OCCURS_WITH
data_analysis,scala,2,CO_OCCURS_WITH
agile,agile_practices,3,CO_OCCURS_WITH
agile,design_thinking,2,CO_OCCURS_WITH
agile,agile_projects,2,CO_OCCURS_WITH
deep_learning,neural_networks,7,CO_OCCURS_WITH
deep_learning,unit,3,CO_OCCURS_WITH
data,dplyr,2,CO_OCCURS_WITH
data,mysql_workbench,2,CO_OCCURS_WITH
charts,google_sheets,3,CO_OCCURS_WITH
cryptography,network_security,2,CO_OCCURS_WITH
clustering,classification,3,CO_OCCURS_WITH
web_development,html,4,CO_OCCURS_WITH
web_development,your_first_website,2,CO_OCCURS_WITH
tableau,dashboards,2,CO_OCCURS_WITH
practice,theory,3,CO_OCCURS_WITH
practice,policy,2,CO_OCCURS_WITH
risk_management,incident_response,3,CO_OCCURS_WITH
big_data,apache_spark,2,CO_OCCURS_WITH
big_data,software_architecture,3,CO_OCCURS_WITH
big_data,scala,4,CO_OCCURS_WITH
data_visualization,time_series,2,CO_OCCURS_WITH
serverless,dataflow,3,CO_OCCURS_WITH
serverless,pipelines,3,CO_OCCURS_WITH
serverless,azure_serverless_functions,2,CO_OCCURS_WITH
serverless,serverless_applications,2,CO_OCCURS_WITH
a_modern_computer,first_principles,2,CO_OCCURS_WITH
functional_programming,scala,3,CO_OCCURS_WITH
scala,functional_program_design,2,CO_OCCURS_WITH
git,version_control,5,CO_OCCURS_WITH
fundamentals,graphic_design,2,CO_OCCURS_WITH
fundamentals,good_clinical_practice,2,CO_OCCURS_WITH
analysis,algorithms,2,CO_OCCURS_WITH
postgresql,alloydb,2,CO_OCCURS_WITH
japanese,science,2,CO_OCCURS_WITH
web_design,responsive_web_design,2,CO_OCCURS_WITH
development,game_design,5,CO_OCCURS_WITH
design_thinking,innovation,3,CO_OCCURS_WITH
design_thinking,parte,4,CO_OCCURS_WITH
design_thinking,ideas,2,CO_OCCURS_WITH
design_thinking,design_thinking_para,2,CO_OCCURS_WITH
excel,chatgpt,2,CO_OCCURS_WITH
classification,marketing_analytics,2,CO_OCCURS_WITH
marketing_analytics,digital_marketing,5,CO_OCCURS_WITH
terraform,infrastructure_as_code,2,CO_OCCURS_WITH
pandas,path,5,CO_OCCURS_WITH
beginners,notion,3,CO_OCCURS_WITH
beginners,chatgpt,2,CO_OCCURS_WITH
beginners,copilot,2,CO_OCCURS_WITH
beginners,blender_3d,2,CO_OCCURS_WITH
ui_design,ux/ui_design,2,CO_OCCURS_WITH
foundations,public_health_practice,4,CO_OCCURS_WITH
foundations,teaching,7,CO_OCCURS_WITH
bootstrap,responsive_design,3,CO_OCCURS_WITH
user_research,user_research_data,2,CO_OCCURS_WITH
best_practices,techniques,2,CO_OCCURS_WITH
linux_servers,unit,4,CO_OCCURS_WITH
reliable_cloud_infrastructure,process,4,CO_OCCURS_WITH
chatgpt,content,2,CO_OCCURS_WITH
scratch,basic_game_development,2,CO_OCCURS_WITH
policies,part,2,CO_OCCURS_WITH
model_evaluation,machine_learning_operations,8,CO_OCCURS_WITH
model_evaluation,mlops,8,CO_OCCURS_WITH
machine_learning_operations,mlops,15,CO_OCCURS_WITH
product_design,ux/ui_fundamentals,2,CO_OCCURS_WITH
figma,prototypes,2,CO_OCCURS_WITH
user_experience_design,part,2,CO_OCCURS_WITH
part,beethoven's_piano,4,CO_OCCURS_WITH
google_sheets,a_budget,2,CO_OCCURS_WITH
html5,css3,3,CO_OCCURS_WITH
simulation,r_simmer,2,CO_OCCURS_WITH
things,a_mobile_surveillance_system,2,CO_OCCURS_WITH
diversity,inclusion,3,CO_OCCURS_WITH
discovery,low-fidelity_design,2,CO_OCCURS_WITH
parte,design_thinking_para,2,CO_OCCURS_WITH
animations,transitions,2,CO_OCCURS_WITH
dataflow,pipelines,3,CO_OCCURS_WITH
high-fidelity_design,user_testing,2,CO_OCCURS_WITH
