learner_id,course_id,course_name,course_domain,course_difficulty,archetype,course_number,enrollment_date,quiz_score,engagement_score,time_spent_hours,completed,learner_skill_level
L00015,JhRINts_Ee6fcwr_8ZRNUw,Unknown,,intermediate,explorer,5,2026-05-08,100.0,85.1,8.9,True,0.6688999689303539
L00015,cT5NL4ysEeWhEhKsLakOmQ,Unknown,,intermediate,explorer,6,2026-07-09,57.9,91.7,7.4,True,0.9688999689303539
L00018,p_so-L9AEeyInQ4kvXUz6Q,Unknown,,intermediate,steady_learner,1,2025-11-27,64.9,66.8,6.4,False,0.0
L00018,NXcHSUH1Ee6xgBLkbK2sIw,Unknown,,intermediate,steady_learner,2,2025-12-18,30.3,100.0,8.4,True,0.0
L00018,yjLQ0rRzEe2MNRLdxpojNw,Unknown,,intermediate,steady_learner,3,2025-12-28,72.1,68.2,6.4,True,0.09088343762216253
L00018,c7bYv0ITEfC6-g6hfV5HWQ,Unknown,,intermediate,steady_learner,4,2026-01-14,56.5,89.0,7.2,False,0.3071957334220485
L00018,uCVwm1ADEe-SdxJ_Axw1wQ,Unknown,,intermediate,steady_learner,5,2026-02-03,32.6,95.0,8.4,True,0.3071957334220485
L00018,wPolI88hEemmpg7Oq2Di7A,Unknown,,intermediate,steady_learner,6,2026-02-11,80.7,69.9,6.5,True,0.4049136823726301
L00018,0ChQcyNVEe-I1wr_7a5dgw,Unknown,,intermediate,steady_learner,7,2026-04-08,49.1,82.1,9.6,True,0.6471299358767537
L00020,K6eKOP5VEe-ehwr_ziEUiw,Unknown,,intermediate,steady_learner,1,2025-09-25,83.0,77.2,7.8,True,0.0
L00020,TmuXRhJWEea8fxLSgUgxeQ,Unknown,,intermediate,steady_learner,2,2025-11-11,77.2,70.5,7.8,True,0.24903165055346027
L00020,lwVoPEP-EeuVrwrlQzvd6w,Unknown,,intermediate,steady_learner,3,2025-12-09,62.8,68.9,7.9,True,0.4806761701226821
L00021,qyI8dn0IEeuV5Q4JzJFoXQ,Unknown,,intermediate,struggling_learner,1,2025-04-02,90.8,19.7,2.1,True,0.0
L00021,n5lOaf83EeqlbQ4m_-mMqw,Unknown,,intermediate,struggling_learner,2,2025-04-12,42.3,35.5,4.0,True,0.27231894300596965
L00023,4CxHAMKeEemQwxIslTT-fg,Unknown,,intermediate,steady_learner,1,2025-03-02,80.6,78.8,6.8,True,0.0
L00023,0duqb-jIEey2_Q6za-RBgQ,Unknown,,intermediate,steady_learner,2,2025-03-25,63.7,70.6,8.0,False,0.2416772290813476
L00023,F5IIkY2jEeW-ng7WVUsFiQ,Unknown,,intermediate,steady_learner,3,2025-04-26,64.9,79.8,8.7,True,0.2416772290813476
L00023,lLNDQewyEe6Q5Qr_6JE8HQ,Unknown,,intermediate,steady_learner,4,2025-05-27,56.2,84.3,7.7,True,0.436412860506211
L00023,v53rXm34EfCdeA7VR_Iplw,Unknown,,intermediate,steady_learner,5,2025-08-18,74.9,69.2,6.3,True,0.6051321417730237
L00023,SjM4qbblEe2RFw58751QMQ,Unknown,,intermediate,steady_learner,6,2025-08-31,65.9,63.4,6.0,True,0.8297160457433261
L00024,kwAkkj3PEfCO_gr_yN6pEQ,Unknown,,intermediate,high_achiever,1,2025-09-26,63.7,78.5,6.6,True,0.0
L00024,j1jVFa0XEe2fwxIAdw5Cyw,Unknown,,intermediate,high_achiever,2,2025-11-06,60.1,89.7,8.7,True,0.19099602695688103
L00024,7eBsnGDPEfCy5w726iKh0Q,Unknown,,intermediate,high_achiever,3,2025-11-08,77.1,90.2,9.7,True,0.3712760415871142
L00024,N1IiQ4-VEeqqOhJwEK9AFw,Unknown,,intermediate,high_achiever,4,2025-12-08,77.1,83.7,8.5,True,0.602625615817878
L00024,yGzRJSWJEeWs4gorU6Q1Yw,Unknown,,intermediate,high_achiever,5,2025-12-14,98.5,84.1,8.6,True,0.8340027507552433
L00024,ZfoEmcQiEe6kghKtIX5xRw,Unknown,,intermediate,high_achiever,6,2026-01-03,85.6,80.4,9.1,True,1.12946710068243
L00024,my9Lfn2vEe2QHRL3YiV0EQ,Unknown,,intermediate,high_achiever,7,2026-01-12,87.0,89.9,7.4,True,1.3862349080496061
L00024,FXw_o-9uEe-sAw4IUmNkyw,Unknown,,intermediate,high_achiever,8,2026-01-20,100.0,87.8,7.5,True,1.647291065032356
L00024,K4eYfU1aEeWigQ4Vtn6olw,Unknown,,intermediate,high_achiever,9,2026-02-07,92.9,82.5,9.1,True,1.947291065032356
L00024,C9T2cxgjEeuWFBKXbYUaVw,Unknown,,intermediate,high_achiever,10,2026-03-23,100.0,78.6,9.0,True,2.0
L00024,K6DsWDizEeuwYApeStDZOw,Unknown,,intermediate,high_achiever,11,2026-03-29,89.6,90.6,9.0,True,2.0
L00024,wGhoXiMiEeuBKxKy0yCFlw,Unknown,,intermediate,high_achiever,12,2026-04-30,89.5,94.9,11.0,True,2.0
L00024,Dc0o-TO5Ee-H2BLw-oHycQ,Unknown,,intermediate,high_achiever,13,2026-05-24,100.0,85.0,9.5,True,2.0
L00024,3sQ1zVofEe2PtBKBaydVNQ,Unknown,,intermediate,high_achiever,14,2026-05-25,94.5,80.2,9.4,True,2.0
L00026,W8EVjFcdEeq7ExJlNovaDw,Unknown,,intermediate,focused_specialist,1,2025-11-28,79.3,98.5,11.0,True,0.0
L00026,YrIthbYUEe-dwg4HQ74J2Q,Unknown,,intermediate,focused_specialist,2,2025-11-30,58.3,95.4,7.6,True,0.23781344572611782
L00026,wPolI88hEemmpg7Oq2Di7A,Unknown,,intermediate,focused_specialist,3,2026-01-05,89.1,87.2,7.8,True,0.41278114140064925
L00026,Iy7vHCWmEeyErhKbHHnlUQ,Unknown,,intermediate,focused_specialist,4,2026-02-10,58.2,77.1,7.0,True,0.6800402458951043
L00026,7PSabL7HEeS4HiIACxCr5g,Unknown,,intermediate,focused_specialist,5,2026-03-11,86.2,62.7,5.3,True,0.8547646573977103
L00026,2vl_C6kpEeyjPxJkzIUqCw,Unknown,,intermediate,focused_specialist,6,2026-04-03,84.9,72.3,7.4,True,1.1132320776797553
L00026,4etaNmEgEe-IJwr_9LLznw,Unknown,,intermediate,focused_specialist,7,2026-04-09,59.9,90.0,10.5,True,1.3680162739348067
L00026,vz5B1mqcEeeKABJwpbbkfA,Unknown,,intermediate,focused_specialist,8,2026-05-18,79.3,67.3,7.6,True,1.547754612836211
L00028,LxKLxAXWEfC3TQ5GC5VyRw,Unknown,,intermediate,explorer,1,2025-10-03,85.7,31.1,2.7,True,0.0
L00028,tMo47kogEeeMtBKozo_2UA,Unknown,,intermediate,explorer,2,2025-10-31,100.0,100.0,10.3,False,0.25713577529685705
L00029,aFyVeBSlEeyr3gqAhLc9dw,Unknown,,intermediate,struggling_learner,1,2025-05-28,10.6,35.3,3.0,False,0.0
L00030,pvq7BC_TEfCejw7oO7eUXw,Unknown,,intermediate,steady_learner,1,2025-07-13,44.0,78.0,8.1,True,0.0
L00030,o2yM52IGEe62wwrYx-2qTQ,Unknown,,intermediate,steady_learner,2,2025-07-19,76.9,66.1,5.8,True,0.13207868478808626
L00030,Z5Yl4xTMEeyr3gqAhLc9dw,Unknown,,intermediate,steady_learner,3,2025-08-12,64.2,91.6,8.7,False,0.36274349779116133
L00030,dcPCP4NeEeu82xKTBdGGow,Unknown,,intermediate,steady_learner,4,2025-09-02,74.4,55.7,4.8,True,0.36274349779116133
L00031,SC3Uo7fsEeuVARITHCE31Q,Unknown,,intermediate,focused_specialist,1,2025-06-18,76.7,68.7,7.7,True,0.0
L00031,gkSRJG8DEe2FvRLslR-h4Q,Unknown,,intermediate,focused_specialist,2,2025-06-29,82.8,89.5,8.3,True,0.22997374180875288
L00031,-tKnUD8MEe24ihI2NeLiww,Unknown,,intermediate,focused_specialist,3,2025-08-07,73.7,78.6,8.9,True,0.4782301417211877
L00032,fQHSXWGXEeyIUg4Qv2RsBQ,Unknown,,intermediate,steady_learner,1,2025-03-04,50.5,81.7,6.6,False,0.0
L00033,8NECvJxUEe-YGxLgAnnuGQ,Unknown,,intermediate,steady_learner,1,2025-11-07,61.0,76.1,7.4,True,0.0
L00033,VMGWgCN5EeuF6RLLcL5oKQ,Unknown,,intermediate,steady_learner,2,2025-11-20,33.2,50.0,4.1,True,0.18287254275999804
L00033,QpigqGcxEeyxLxJK4mLviw,Unknown,,intermediate,steady_learner,3,2025-11-20,62.3,61.4,5.4,False,0.2825217673904442
L00034,OlN4rbfmEeiV3hLuYXLyZg,Unknown,,intermediate,steady_learner,1,2025-12-31,64.0,88.1,8.2,True,0.0
L00034,wQ1XWdifEe2j9w737iT0hw,Unknown,,intermediate,steady_learner,2,2026-01-23,32.5,77.7,7.6,False,0.19194158461372052
L00034,s33LSJrSEe-dyg4jT90KDQ,Unknown,,intermediate,steady_learner,3,2026-03-09,64.0,57.0,6.6,True,0.19194158461372052
L00035,ajzMQhTLEe662RIaNL_zRQ,Unknown,,intermediate,explorer,1,2025-05-04,75.2,84.4,6.8,False,0.0
L00035,Lx5ydaOfEeW2ORLv1OUyFQ,Unknown,,intermediate,explorer,2,2025-06-12,15.0,62.7,7.0,False,0.0
L00036,beyc3y8fEfCE_gr_3b7Bww,Unknown,,intermediate,steady_learner,1,2025-10-24,55.2,83.6,9.8,True,0.0
L00036,tTHehaJuEe2Y8Q7-OL3uUQ,Unknown,,intermediate,steady_learner,2,2025-11-07,79.3,71.2,6.9,True,0.16572712213776977
L00036,gZ6cbKKkEeW1Bw7HN8tFsw,Unknown,,intermediate,steady_learner,3,2025-11-28,44.9,55.4,5.9,True,0.4035819451118896
L00036,-8cOpydnEeaTvRKF2VtmxQ,Unknown,,intermediate,steady_learner,4,2025-12-03,59.6,70.8,8.4,False,0.5383960648347212
L00037,VeZckA23Ee2Y5w6RJi54eQ,Unknown,,intermediate,steady_learner,1,2025-10-29,45.4,63.1,5.5,False,0.0
L00038,xyLJl3YnEeu0DQqwkTi7iQ,Unknown,,intermediate,struggling_learner,1,2025-11-27,35.0,35.8,3.5,False,0.0
L00040,uncdOA1eEe-PZgr_4p5lOw,Unknown,,intermediate,steady_learner,1,2025-11-03,82.5,72.2,6.0,True,0.0
L00040,PPL-IKkuEeywagovoAKHOQ,Unknown,,intermediate,steady_learner,2,2025-12-12,72.7,89.8,8.8,False,0.24744299731493125
L00040,upu594Z3EeuuVxILgxt9Nw,Unknown,,intermediate,steady_learner,3,2025-12-17,67.0,83.9,9.6,True,0.24744299731493125
L00040,hdyPNBajEfCc8Q4nSGC5tQ,Unknown,,intermediate,steady_learner,4,2026-03-09,64.7,95.7,10.4,False,0.4484041407658521
L00040,qmPPMp_HEe6HhQ7Sr6yy3Q,Unknown,,intermediate,steady_learner,5,2026-03-09,58.6,84.6,9.2,False,0.4484041407658521
L00041,kz96riq5EeyavRI3rIvGvQ,Unknown,,intermediate,steady_learner,1,2025-07-27,59.6,97.3,8.7,True,0.0
L00041,1Etlv-DYEeqwLg6LDIwD1Q,Unknown,,intermediate,steady_learner,2,2025-08-13,60.9,81.1,8.1,True,0.17875859468337912
L00041,QhzT43JaEeqScBK87oSN6Q,Unknown,,intermediate,steady_learner,3,2025-09-24,62.3,38.6,3.6,True,0.3615122586792435
L00041,FweAQa8pEeyiqQr1qP1QDw,Unknown,,intermediate,steady_learner,4,2025-11-12,64.8,82.7,8.0,False,0.5482797601790632
L00041,nhmhj52zEe2L_wpgKckryw,Unknown,,intermediate,steady_learner,5,2026-01-05,65.5,72.6,8.6,True,0.5482797601790632
L00042,NTw8YypDEe-OFRLljw7zQQ,Unknown,,intermediate,struggling_learner,1,2026-01-06,24.5,68.0,8.0,False,0.0
L00043,GzNPRtwWEeqQew6daMPmjw,Unknown,,intermediate,explorer,1,2025-08-27,66.1,66.3,7.6,True,0.0
L00044,a4B0XeShEeutMhLqB6BFnw,Unknown,,intermediate,steady_learner,1,2025-01-17,60.7,56.1,5.2,False,0.0
L00044,D81y5D1OEe6mFRIdB0-Bcw,Unknown,,intermediate,steady_learner,2,2025-01-31,86.6,80.0,8.2,True,0.0
L00044,WLJ6osnaEe-LvhIuPUA7nw,Unknown,,intermediate,steady_learner,3,2025-02-19,51.9,58.6,5.3,True,0.25976265084308126
L00044,CPE6BqkqEeyxDg4ukgkVlw,Unknown,,intermediate,steady_learner,4,2025-04-22,93.9,75.4,7.2,True,0.41552922951770277
L00044,JeLlgicBEeyxgAr51Gjbpw,Unknown,,intermediate,steady_learner,5,2025-04-26,71.0,63.0,6.1,True,0.6971715721067631
L00044,CISBOptyEeqywwraCMpBEw,Unknown,,intermediate,steady_learner,6,2025-05-08,52.6,80.9,7.1,False,0.9102624275429105
L00044,uTM3JKkoEeyxDg4ukgkVlw,Unknown,,intermediate,steady_learner,7,2025-05-24,65.4,63.1,5.4,True,0.9102624275429105
L00045,uT8tPA7aEfC_-w572D3gsw,Unknown,,intermediate,explorer,1,2025-05-24,53.4,83.6,9.7,False,0.0
L00046,6IJQDdfIEe-jmAr_5feSQQ,Unknown,,intermediate,steady_learner,1,2025-03-14,54.4,65.9,5.3,True,0.0
L00046,ROHM4G0aEe6tnQrK3yNnuQ,Unknown,,intermediate,steady_learner,2,2025-04-17,66.7,70.6,6.1,False,0.163300191491905
L00047,O7GPMFNhEe-JFA5QVkNq4w,Unknown,,intermediate,steady_learner,1,2025-10-12,79.9,60.5,4.9,True,0.0
L00047,jG8qZPRiEeu_hgpiK6yFCw,Unknown,,intermediate,steady_learner,2,2025-11-02,58.6,74.7,7.9,True,0.2396198047340545
L00048,UVxX6FzzEfCdDhJt6L1Wkw,Unknown,,intermediate,explorer,1,2025-11-14,58.2,34.6,3.8,True,0.0
L00048,K03LXHH1EfC7eQr_-0caDw,Unknown,,intermediate,explorer,2,2025-11-26,78.9,76.0,8.4,True,0.17461172971654398
L00049,WACd9stYEe65Mwqc6CotZw,Unknown,,intermediate,explorer,1,2025-04-02,64.2,88.9,8.0,False,0.0
L00049,hIX2bMF5Ee-ADgr_3OZlyQ,Unknown,,intermediate,explorer,2,2025-07-20,71.1,47.8,5.0,True,0.0
L00049,I3MKFTq0Ee6PABLgKXk5yQ,Unknown,,intermediate,explorer,3,2025-08-11,88.7,58.0,5.2,True,0.21335096772155007
L00049,1b9VUDu6EeWdUgozVKt3nw,Unknown,,intermediate,explorer,4,2025-08-20,59.8,32.7,3.6,False,0.4795607403038764
L00049,jQmnNEh4Ee-mywr_6bZvLw,Unknown,,intermediate,explorer,5,2025-09-25,51.8,78.5,9.4,False,0.4795607403038764
L00049,mhIa_rZjEe-sywr_75D7Fw,Unknown,,intermediate,explorer,6,2025-10-14,69.7,57.0,4.6,True,0.4795607403038764
L00049,H7QOTaItEeWm9xJA1YXcWQ,Unknown,,intermediate,explorer,7,2025-10-21,52.4,38.9,3.5,True,0.6888097758130058
L00049,o2pPHGFLEfC0aBLgb0yDNQ,Unknown,,intermediate,explorer,8,2026-04-22,98.4,64.7,7.5,False,0.8461279953958116
L00050,8VPATQmGEe-knBIDDnXmpw,Unknown,,intermediate,struggling_learner,1,2025-04-04,57.3,77.8,7.7,True,0.0
L00051,K4Ob9ITkEe-HnxIaoRsVow,Unknown,,intermediate,explorer,1,2025-10-20,31.2,100.0,11.6,False,0.0
L00052,WQpeWmnqEe--dw7PPVphLw,Unknown,,intermediate,steady_learner,1,2025-09-16,68.0,83.4,8.7,True,0.0
L00052,MW2pZj4yEey2HhKRvGWgpQ,Unknown,,intermediate,steady_learner,2,2025-10-09,64.0,79.8,9.0,True,0.20405986263796336
L00052,MV0AxsgNEeqNwgqa2N6Pzw,Unknown,,intermediate,steady_learner,3,2025-10-22,57.8,63.4,7.0,False,0.39604899439058805
L00052,HHVZrNYWEeyBrQ7e8kzA9w,Unknown,,intermediate,steady_learner,4,2025-10-31,51.6,100.0,10.2,False,0.39604899439058805
L00052,4kzThz0jEe-9Ig7qA4dB5w,Unknown,,intermediate,steady_learner,5,2026-03-22,42.2,44.5,4.7,True,0.39604899439058805
L00052,AM_kT_nmEeqXwg6KzSTevw,Unknown,,intermediate,steady_learner,6,2026-05-28,62.3,50.9,4.4,True,0.5227608893525648
L00052,m44UPXQvEfCXBxJiu3-4_w,Unknown,,intermediate,steady_learner,7,2026-07-15,99.4,88.0,10.3,True,0.7095618242082555
L00054,CpFAL1StEe2HYQ674WURew,Unknown,,intermediate,focused_specialist,1,2025-10-26,66.9,91.2,8.8,True,0.0
L00054,tXdcUqeJEe26Cg4gAKFmwQ,Unknown,,intermediate,focused_specialist,2,2025-11-08,68.8,82.1,9.1,True,0.20068853061031153
L00054,hpasH4-2EeaNrQrkg4diMQ,Unknown,,intermediate,focused_specialist,3,2025-11-16,59.5,61.5,6.8,True,0.40701446732660285
L00054,GHhkynNMEeWKsgrp3VnvAw,Unknown,,intermediate,focused_specialist,4,2025-11-28,78.9,76.6,7.5,True,0.5853998416996226
L00056,NQp-V3jDEe6AfxJZ3ZVmGQ,Unknown,,intermediate,struggling_learner,1,2025-09-20,74.9,35.1,4.2,True,0.0
L00056,WgwOOyX0EeyErhKbHHnlUQ,Unknown,,intermediate,struggling_learner,2,2025-09-26,49.2,57.3,5.1,False,0.22462924295855122
L00057,iYhNQAZrEeqJ6Q7f9hTL-Q,Unknown,,intermediate,steady_learner,1,2025-03-20,63.8,62.5,6.7,False,0.0
L00058,9NqXImONEfCy5w726iKh0Q,Unknown,,intermediate,steady_learner,1,2025-08-15,58.5,74.5,7.7,True,0.0
L00059,qD3a1ulDEe2idwokHO9n2w,Unknown,,intermediate,steady_learner,1,2025-01-19,57.3,83.5,7.4,True,0.0
L00059,u2HYbbzvEeyjBhKbu4asXQ,Unknown,,intermediate,steady_learner,2,2025-01-21,68.6,46.5,5.2,True,0.1717763991260707
L00059,2vl_C6kpEeyjPxJkzIUqCw,Unknown,,intermediate,steady_learner,3,2025-02-22,97.2,75.4,8.4,True,0.3776287501012398
L00059,vwpmLE1YEeeLKxKORFYW1g,Unknown,,intermediate,steady_learner,4,2025-03-13,79.2,82.0,8.1,True,0.6692181802836109
L00060,KR_LM6TVEeqCbQ4n-DXNkQ,Unknown,,intermediate,explorer,1,2025-06-19,56.7,33.0,3.8,True,0.0
L00060,GnSuec4_Ee65Mwqc6CotZw,Unknown,,intermediate,explorer,2,2025-08-06,47.5,52.3,6.3,True,0.17021553452243207
L00062,7vasMEd_EeW8cBKtDAegYw,Unknown,,intermediate,steady_learner,1,2025-11-18,59.5,79.0,6.9,True,0.0
L00063,bG4hY9X1EeeiOg7RPq0TXg,Unknown,,intermediate,steady_learner,1,2025-02-04,76.2,31.9,2.8,True,0.0
L00063,3ESV_HwiEfCbig5Qd2coyw,Unknown,,intermediate,steady_learner,2,2025-05-13,88.9,37.3,4.4,True,0.22868433057875978
