learner_id,course_id,quiz_score,engagement_score,content_type
L00075,Fk0RyfhqEeaQswpW71qb2A,73.1,90.3,
L00075,uyr44XJaEeq2qwoqrgcBoQ,94.1,94.9,
L00075,jUeTl6phEeuLCQ6P36XDuw,100.0,88.3,
L00077,vdwtpp1hEeW4xRJkiwxnYw,59.2,76.3,
L00077,C85M9qAYEeq-bBISszspmQ,77.2,74.2,
L00077,efvCOU2HEe6t5QqZGaqvvw,97.7,75.6,
L00079,wWKidiPbEe2Psg5YTxx2NQ,56.3,62.0,
L00079,P9m8ZEyIEeyVnArvMUxg9w,62.2,82.8,
L00079,AbYxlxMvEeudYRKWrh_Urw,46.4,53.4,
L00080,vfNfTz31Ee-9Ig7qA4dB5w,82.0,81.2,
L00080,LQMVqakqEeyjPxJkzIUqCw,67.2,75.4,
L00081,czHuS4_GEeqjVQq1e8EnsQ,74.3,63.8,
L00081,SN5tm_tBEeScRyIAC3-PxA,74.3,36.0,
L00081,rdr8M52zEe2a0hItqNBhjQ,39.2,77.5,
L00081,aSIgwuqMEe-N6gr_8hZ8yw,100.0,78.4,
L00081,jAKi4B9GEfCUKg7orgMBjQ,69.0,59.6,
L00081,iRBJm_LREeSplSIACzYDNg,37.6,56.4,
L00081,Z0iIkFIvEeyLIRLL9niz0w,93.9,100.0,
L00081,LWlU3YrGEe-Prw4pgRltBQ,42.8,36.6,
L00081,q8vuMCtCEfCFOw5SEzGjMQ,72.6,93.2,
L00083,R1PcjhtgEeqwsg7M7e9Hdw,74.3,94.2,
L00083,K6MemvMBEeyxiRKaoDccyw,69.4,83.5,
L00083,JAIFVzVfEeyeYA42DXbPkQ,81.1,84.3,
L00083,PZB3hsR_Eeq2zA6q1ZqzUQ,88.7,86.1,
L00083,0CWsGNG6EeWlbgqNCYymGw,91.6,95.2,
L00083,2ZtMBlw5EfCulgr_yN0Fgw,97.4,86.2,
L00083,FwLlxFfeEeWWpxI8aBTOyQ,89.0,92.3,
L00083,epSUlKkuEeyxDg4ukgkVlw,94.1,100.0,
L00084,ByqSENDBEe6SjxKHxThXWw,73.4,32.3,
L00084,69279pFuEey5lA4z0b06iw,40.1,71.6,
L00084,GELM6BRDEe-d6hIj26omoQ,23.4,37.0,
L00085,fsXdLVj5EeyOjwqcMrh_EQ,73.6,79.2,
L00085,c-czjfnIEeyxiRKaoDccyw,68.0,74.9,
L00085,U2AyS6cNEe2k3QqEwsYK9Q,81.5,97.7,
L00085,jhbnzAYZEfC8aAr_0V4I2Q,76.8,87.6,
L00086,ex4W67aQEe-dwg4HQ74J2Q,66.8,58.8,
L00086,xAUa37WoEeW-DxJ4SAJAhQ,67.1,20.8,
L00088,hB0Q_1FZEe2_Sw71Lq9Tow,70.0,98.7,
L00088,JfASfdBSEe6SjxKHxThXWw,69.5,100.0,
L00088,M3OvwXI3Eeys9RJMWW48Yw,86.5,82.9,
L00088,04kQ_is8EeyavRI3rIvGvQ,100.0,74.7,
L00088,QorXEfDrEe6_hQ5vjY2P8w,76.2,82.3,
L00088,bI3LIkp7EfCKLQ4GKuiezQ,79.3,72.9,
L00088,zhJLiXQmEfC6sQ6q3gpOMQ,91.7,78.4,
L00088,oyLdmw0CEe2Y5w6RJi54eQ,96.9,81.0,
L00088,69q_LFADEe-SdxJ_Axw1wQ,100.0,85.0,
L00088,2hIDbsXuEeWJGhLlUd0b5w,97.5,70.4,
L00088,fmQHyqXSEei3zwoGmBo8pg,97.9,93.5,
L00088,xC1Jw8aPEe-LvhIuPUA7nw,94.9,93.3,
L00088,kEJz6FMUEe-mywr_6bZvLw,100.0,77.1,
L00089,hEnkmqM2Ee2ulBKWkg2MSQ,56.3,45.1,
L00089,95ee7d21Eeu-EQpycSBBow,92.6,59.9,
L00089,frVZMy7BEeieyQoEmfUmdA,79.1,100.0,
L00089,6XfqXHyaEeu3uhKhdnv_7w,58.3,74.6,
L00089,x6nxn0YaEeyMShIZDy6GdQ,100.0,67.4,
L00089,goJ9vXd_EeWtpg5GoAM5Iw,62.6,57.9,
L00089,09MEus4-Ee6SjxKHxThXWw,76.0,63.8,
L00089,N0WpwiY_Eey4dA6DVmO2QQ,80.9,47.7,
L00089,bd0znK7-EemyMA5Lq7-tfA,82.2,36.8,
L00089,6EjcjyB6EeuRtBLpTHsFtw,80.4,59.4,
L00090,M5MhWRpXEeyZ9BL8TB78QQ,56.5,74.6,
L00090,Mz09JOzTEe67Qg5OWMQ59w,67.6,85.8,
L00090,14wpbvnnEeqrqRLDNmbmYw,67.0,86.0,
L00090,EArFbVrgEe-HJQr_z1qFow,89.3,86.2,
L00090,Dhb0X03GEeqXxwqxk3C7MQ,68.0,86.3,
L00091,oUJ58VQ6EfCW8Q55q1kSNQ,63.7,79.1,
L00091,Rsf1AWocEeuQqxJ-6zCB-w,78.3,85.5,
L00091,4MSFJrjIEe-Edgr_0TyPhw,95.9,87.6,
L00091,vTBdf27YEfCHNwr_6AsATQ,78.4,71.4,
L00093,yq7l2eYXEe6s9Qr_2Qjvdw,20.1,57.1,
L00093,HBvQdSObEeu-rg7jvs9-1w,33.6,5.6,
L00093,9LOiI4LAEfCPfgr__lXpzQ,38.5,53.5,
L00093,3X8T_LagEe-dwg4HQ74J2Q,67.6,60.0,
L00094,ad9xTnfoEemI3hKEZBIFgg,80.2,64.5,
L00094,MWJf9CM8EeegFxJFuF7S9A,49.0,96.9,
L00094,LMDNYxp2Ee6dsRI5EA87dw,74.3,88.7,
L00095,3BtSOZkvEeeNegqR6J6tDg,59.1,81.9,
L00095,MqfA4jinEeqEYQpOQt3ikw,83.8,80.2,
L00095,R64ykaXKEe-syBKvuiDv_w,60.6,67.7,
L00096,BJf9AqkrEeyxDg4ukgkVlw,83.0,88.2,
L00096,RO728xoIEeWg_RJGAuFGjw,71.4,100.0,
L00096,zqK9dFM2EeaIlw57rh81AQ,72.8,82.4,
L00096,hB0Q_1FZEe2_Sw71Lq9Tow,89.1,100.0,
L00097,xAUa37WoEeW-DxJ4SAJAhQ,18.0,88.3,
L00097,KtbE7Q5BEeamsw7MRtVHjQ,40.9,90.8,
L00097,YVCJtTEIEeyb5BLyoVYmQQ,89.1,100.0,
L00097,zpI1GMQ_EeW2JxKnR3RyOw,52.1,49.3,
L00098,VIIcqc3AEeu0KQ5V9fFcUQ,36.6,32.2,
L00098,H1S9SiycEey_gAqlB2poCQ,38.9,35.9,
L00098,4BkqMnE8EeWxvQr3acyajw,80.5,24.7,
L00098,7gLccRnoEeWjrA6seF25aw,63.2,59.7,
L00099,1_heQxNzEe-zqA6_zzhdJQ,48.2,62.2,
L00099,3obxa2UJEe2NnA4jep2fLw,28.9,30.6,
L00099,S4rFaf3dEe-ehwr_ziEUiw,1.9,47.4,
L00101,HUJ11BnoEeWg_RJGAuFGjw,66.6,74.1,
L00101,GAZnzRdTEeyZ9BL8TB78QQ,41.8,65.1,
L00101,J35r-m9iEfCA-BIY4kCZLQ,69.8,70.8,
L00101,qnjhdI7-Ee6xzArT8MnIvQ,49.8,52.7,
L00101,JJwS82OTEeeHUQ7JlgRprA,71.3,49.1,
L00101,I4uVflYJEfCt0wr_8L_7mQ,82.2,53.5,
L00102,33f-6F4GEeu8xgoxFomNmw,36.1,65.0,
L00102,U4jqe5_bEe66Awqauw259w,15.0,3.8,
L00103,fcqBEnxQEeaXRRKK7mMjqw,57.7,68.6,
L00103,bfGb13eJEe-cBRK_mZB3Bw,44.3,92.6,
L00103,wFc3FhwIEeyf4Ar-aygVCw,47.7,68.9,
L00103,2ssIjbpGEe6jXQ7DOFLcow,68.7,67.7,
L00103,X8hh83M5EeuBTg7vUdMe9w,84.5,59.5,
L00103,OgvCa4W3EeqGXxK7lrZFqQ,66.9,81.9,
L00103,9_tBpYquEeatfg7c63n1lQ,61.5,63.7,
L00103,6MvmTJFlEeauIxKYfUIOvQ,95.4,91.1,
L00104,5j9HffwsEeyt8Q7irWwuzw,67.9,40.7,
L00105,cEqlo5KmEe2D4QoulE83uw,65.9,42.7,
L00105,OgyTdFr3EfCekhJDthqyWw,46.1,55.9,
L00109,hTD2gasoEeikbA5NFwCang,42.4,61.2,
L00110,K1cyL0BjEfCXXhLR-bLm7w,58.1,75.3,
L00110,FWQVbhneEfCwdwr_1g1Hsw,63.5,68.8,
L00110,5m2_IkQ2EfC6-g6hfV5HWQ,50.9,63.3,
L00110,HFrDyFSmEfCW8Q55q1kSNQ,62.4,83.9,
L00111,AEpRSW3UEfCBFwr_1SFWbw,62.5,73.6,
L00111,jF3Ljp2yEe2L_wpgKckryw,70.1,90.5,
L00111,hPlrBDItEe-YcA77IVc2yQ,86.7,98.0,
L00111,jg1iycHGEeyMsw7fjv4fAQ,82.8,81.5,
L00111,MAC__KMZEe-NWAr_wjSR3w,82.0,68.9,
L00111,6XK_YtGuEe6lEg6XAETioQ,78.5,94.1,
L00111,N1G500AyEe-4ZAr_znWoOw,100.0,100.0,
L00111,uPlvNanpEeq_tQ7r_WqHcw,87.1,83.1,
L00111,K8gDT6kyEeywagovoAKHOQ,100.0,78.1,
L00111,shPviriqEeWVcRIZgPr_Xw,96.6,90.3,
L00111,tPFupEXmEe68PQqxbCl1eQ,100.0,86.0,
L00111,1A0zJcSkEe-LvhIuPUA7nw,98.9,83.0,
L00111,-MAs2uGGEea3uhKgRSNY-g,100.0,97.0,
L00111,cQTNbGosEe-o2Qr_2f2M0Q,100.0,94.2,
L00111,pu2XQCuEEe6qTBJCf71DPw,96.1,100.0,
L00112,5mAuak8zEemKoQ4qeYq26g,75.6,93.0,
L00113,Nf4DjMszEeiLLhJBAe-LZA,80.2,72.5,
L00113,6n7XuwYxEe-knBIDDnXmpw,80.8,94.9,
L00113,f6r9pz_dEfCO_gr_yN6pEQ,69.2,69.6,
L00113,qmAhEqohEemZlxJ9tIo-9A,88.7,82.9,
L00113,SZZ0QzCzEe6C3BIlq-9kww,79.0,84.1,
L00113,XgNdabN8Ee-dwg4HQ74J2Q,75.4,97.4,
L00113,rprg0v3dEe-m2BKpUCEabw,95.3,79.8,
L00114,_STaUftFEe6muw6kPmMYSw,61.9,86.0,
L00114,cIn69ABxEe-s6A6gNZn4pQ,54.6,45.9,
L00114,5j6_NzI2EfC3HAr_0KfBDw,71.5,66.1,
L00115,jhbnzAYZEfC8aAr_0V4I2Q,29.5,74.7,
L00115,Axwt-d3tEe6J_wr_0biVVQ,64.9,64.2,
L00115,V-CMIulKEe-i1w7KFSEfXw,59.2,74.1,
L00115,33f-6F4GEeu8xgoxFomNmw,59.1,81.2,
L00116,1gnSQ1X8EeyOtQoy5-XfoQ,75.1,77.3,
L00116,t8Zu0nK1EeWxvQr3acyajw,74.5,72.6,
